session_id,tutor_id,date,duration_minutes,rating,status,has_tech_issue,is_first_session,reschedule_initiator,no_show
S00001,T024,2025-11-07,66,5,completed,true,true,,false
S00002,T154,2025-11-07,87,5,completed,false,true,,false
S00003,T189,2025-11-07,76,5,completed,false,true,,false
S00004,T090,2025-11-07,49,5,completed,false,true,,false
S00005,T013,2025-11-07,36,5,dropout,false,true,,false
S00006,T036,2025-11-07,27,3,completed,false,true,,false
S00007,T117,2025-11-07,36,4,completed,false,true,,false
S00008,T078,2025-11-07,38,3,completed,false,true,,false
S00009,T185,2025-11-07,35,5,completed,false,true,,false
S00010,T029,2025-11-07,66,,completed,false,true,,false
S00011,T009,2025-11-07,51,4,completed,false,true,,false
S00012,T109,2025-11-07,68,5,completed,false,true,,false
S00013,T083,2025-11-07,30,4,completed,false,true,,false
S00014,T032,2025-11-07,42,4,completed,false,true,,false
S00015,T010,2025-11-07,82,5,dropout,false,true,,false
S00016,T035,2025-11-07,89,,completed,false,true,,false
S00017,T082,2025-11-07,56,2,completed,false,true,,false
S00018,T125,2025-11-07,31,4,rescheduled,false,true,tutor,false
S00019,T026,2025-11-07,28,2,completed,false,true,,false
S00020,T167,2025-11-07,38,,completed,false,true,,false
S00021,T112,2025-11-07,71,5,completed,true,true,,false
S00022,T050,2025-11-07,45,3,completed,false,true,,false
S00023,T111,2025-11-07,62,3,rescheduled,false,true,tutor,false
S00024,T031,2025-11-07,62,5,completed,true,true,,false
S00025,T092,2025-11-07,53,3,completed,false,true,,false
S00026,T052,2025-11-07,64,5,completed,false,true,,false
S00027,T188,2025-11-07,39,5,completed,false,true,,false
S00028,T180,2025-11-07,64,5,completed,false,true,,false
S00029,T111,2025-11-07,36,4,completed,false,false,,false
S00030,T046,2025-11-07,29,3,completed,false,true,,false
S00031,T114,2025-11-07,62,2,completed,false,true,,false
S00032,T174,2025-11-07,48,4,completed,false,true,,false
S00033,T005,2025-11-07,76,4,completed,false,true,,false
S00034,T029,2025-11-07,61,2,completed,false,false,,false
S00035,T025,2025-11-07,42,4,completed,false,true,,false
S00036,T107,2025-11-07,89,3,completed,true,true,,false
S00037,T035,2025-11-07,65,3,completed,false,false,,false
S00038,T057,2025-11-07,43,2,completed,false,true,,false
S00039,T124,2025-11-07,30,5,completed,false,true,,false
S00040,T037,2025-11-07,61,3,completed,false,true,,false
S00041,T187,2025-11-07,35,5,completed,false,true,,false
S00042,T144,2025-11-07,73,,completed,false,true,,false
S00043,T109,2025-11-07,42,3,rescheduled,false,false,tutor,false
S00044,T051,2025-11-07,84,5,completed,false,true,,false
S00045,T090,2025-11-07,33,5,completed,true,false,,false
S00046,T046,2025-11-07,51,5,completed,false,false,,false
S00047,T107,2025-11-07,69,5,completed,true,false,,false
S00048,T158,2025-11-07,78,5,completed,false,true,,false
S00049,T176,2025-11-07,33,3,completed,false,true,,false
S00050,T056,2025-11-07,65,3,completed,false,true,,false
S00051,T008,2025-11-07,65,5,completed,false,true,,false
S00052,T156,2025-11-07,66,3,completed,false,true,,false
S00053,T128,2025-11-07,69,4,dropout,false,true,,false
S00054,T029,2025-11-07,58,4,completed,false,false,,false
S00055,T041,2025-11-07,62,,completed,false,true,,false
S00056,T006,2025-11-07,36,5,dropout,false,true,,true
S00057,T069,2025-11-07,78,2,completed,false,true,,false
S00058,T054,2025-11-07,77,5,completed,false,true,,false
S00059,T110,2025-11-07,57,5,completed,false,true,,false
S00060,T139,2025-11-07,69,3,completed,false,true,,false
S00061,T168,2025-11-07,89,4,completed,false,true,,false
S00062,T033,2025-11-07,39,4,completed,false,true,,false
S00063,T001,2025-11-07,80,2,completed,false,true,,false
S00064,T047,2025-11-07,32,4,completed,false,true,,false
S00065,T130,2025-11-07,26,5,dropout,false,true,,false
S00066,T064,2025-11-07,46,1,completed,true,true,,false
S00067,T004,2025-11-07,79,4,completed,false,true,,false
S00068,T056,2025-11-07,53,,rescheduled,false,false,tutor,false
S00069,T088,2025-11-07,67,3,completed,false,true,,false
S00070,T185,2025-11-07,55,5,completed,false,false,,false
S00071,T158,2025-11-07,44,4,completed,false,false,,false
S00072,T052,2025-11-07,33,,dropout,false,false,,false
S00073,T082,2025-11-07,75,5,completed,false,false,,false
S00074,T135,2025-11-07,89,2,completed,false,true,,false
S00075,T081,2025-11-07,49,4,rescheduled,true,true,tutor,false
S00076,T068,2025-11-07,64,5,completed,false,true,,false
S00077,T110,2025-11-07,39,2,completed,false,false,,false
